date,close,ma_5,ma_20,signal
2023-10-05,1730.3563232421875,1726.56484375,1770.8901000976562,-1
2023-10-06,1739.984619140625,1728.700048828125,1769.5730590820312,-1
2023-10-09,1715.43994140625,1725.42744140625,1766.0958862304688,-1
2023-10-10,1752.1572265625,1731.224365234375,1764.2450561523438,-1
2023-10-11,1767.4229736328125,1741.072216796875,1762.4241577148437,-1
2023-10-12,1759.8897705078125,1746.97890625,1760.061968994141,-1
2023-10-13,1758.0439453125,1750.590771484375,1756.938995361328,-1
2023-10-16,1745.821533203125,1756.66708984375,1753.3570556640625,1
2023-10-17,1767.572509765625,1759.750146484375,1751.2443054199218,1
2023-10-18,1749.4632568359375,1756.158203125,1749.0018493652344,1
2023-10-19,1734.5467529296875,1751.089599609375,1746.457568359375,1
2023-10-20,1765.626953125,1752.606201171875,1747.1510070800782,1
2023-10-23,1736.841796875,1750.81025390625,1746.3677734375,1
2023-10-25,1724.1702880859375,1742.1298095703123,1743.5566040039062,-1
2023-10-26,1691.044677734375,1730.44609375,1740.101873779297,-1
2023-10-27,1698.8770751953125,1723.312158203125,1736.986376953125,-1
2023-10-30,1713.6439208984375,1712.9155517578124,1736.203143310547,-1
2023-10-31,1735.4947509765625,1712.646142578125,1736.3877319335938,-1
2023-11-01,1720.5284423828125,1711.9177734375,1736.2555236816406,-1
2023-11-02,1733.7984619140625,1720.4685302734374,1737.0362609863282,-1
2023-11-03,1729.3585205078125,1726.5648193359375,1736.986370849609,-1
2023-11-06,1736.29296875,1731.09462890625,1736.801788330078,-1
2023-11-07,1747.318115234375,1733.4593017578125,1738.3956970214845,-1
2023-11-08,1742.329345703125,1737.819482421875,1737.9043029785155,-1
2023-11-09,1741.0322265625,1739.2662353515625,1736.584765625,1
2023-11-10,1741.531005859375,1741.700732421875,1735.6668273925782,1
2023-11-13,1744.27490234375,1743.297119140625,1734.9783752441406,1
2023-11-15,1765.5272216796875,1746.9389404296876,1735.9636596679688,1
2023-11-16,1768.86962890625,1752.2469970703123,1736.028515625,1
2023-11-17,1760.63818359375,1756.1681884765626,1736.5872619628906,1
2023-11-20,1766.5748291015625,1761.176953125,1738.1886657714845,1
2023-11-21,1763.232177734375,1764.968408203125,1738.0689270019532,1
2023-11-22,1741.730712890625,1760.2091064453125,1738.3133728027344,1
2023-11-23,1735.39501953125,1753.5141845703124,1738.874609375,1
2023-11-24,1740.0843505859375,1749.40341796875,1741.326593017578,1
2023-11-28,1738.3382568359375,1743.756103515625,1743.2996520996094,1
2023-11-29,1749.51318359375,1741.0123046875,1745.093115234375,-1
2023-11-30,1751.5086669921875,1742.9678955078125,1745.8938110351562,-1
2023-12-01,1746.56982421875,1745.2028564453126,1747.1958801269532,-1
2023-12-04,1814.467041015625,1760.07939453125,1751.2293090820312,1
2023-12-05,1824.3447265625,1777.2806884765623,1755.9786193847656,1
2023-12-06,1817.3106689453125,1790.840185546875,1760.0295043945312,1
2023-12-07,1822.748291015625,1805.0881103515624,1763.8010131835938,1
2023-12-08,1834.322265625,1822.6385986328123,1768.4006591796874,1
2023-12-11,1839.9097900390625,1827.7271484375,1773.3445373535155,1
2023-12-12,1820.2540283203125,1826.9090087890625,1777.2806884765623,1
2023-12-13,1822.0997314453125,1827.8668212890625,1781.1719299316403,1
2023-12-14,1849.687744140625,1833.2547119140625,1785.3799560546877,1
2023-12-15,1846.4449462890625,1835.679248046875,1789.258721923828,1
2023-12-18,1842.80322265625,1836.2579345703125,1793.3669738769531,1
2023-12-19,1842.404296875,1840.68798828125,1797.158447265625,1
2023-12-20,1822.3992919921875,1840.747900390625,1800.1168029785156,1
2023-12-21,1848.5404052734373,1840.5184326171875,1805.457287597656,1
2023-12-22,1856.3228759765625,1842.4940185546875,1811.503680419922,1
2023-12-26,1882.6136474609373,1850.456103515625,1818.630145263672,1
2023-12-27,1898.078857421875,1861.591015625,1826.6171752929688,1
2023-12-28,1917.0362548828125,1880.518408203125,1834.9933288574216,1
2023-12-29,1903.8160400390625,1891.57353515625,1842.6086975097653,1
2024-01-01,1904.8636474609373,1901.281689453125,1850.523388671875,1
2024-01-02,1860.8626708984373,1896.931494140625,1852.843170166016,1
2024-01-03,1861.710693359375,1889.657861328125,1854.7114685058596,1
2024-01-04,1859.4158935546875,1878.1337890625,1856.816729736328,1
2024-01-05,1843.4517822265625,1866.0609375,1857.851904296875,1
2024-01-08,1822.0,1849.4882080078123,1857.235791015625,-1
2024-01-09,1822.548828125,1841.825439453125,1856.367742919922,-1
2024-01-10,1816.7120361328125,1832.8257080078124,1856.1906433105469,-1
2024-01-11,1818.75732421875,1824.693994140625,1856.023522949219,-1
2024-01-12,1829.134033203125,1821.8304443359373,1854.995837402344,-1
2024-01-15,1847.343017578125,1826.8990478515625,1855.0407409667969,-1
2024-01-16,1843.8509521484373,1831.15947265625,1855.0931274414063,-1
2024-01-17,1775.6544189453125,1822.94794921875,1851.755633544922,-1
2024-01-18,1773.259765625,1813.8484375,1849.2986572265625,-1
2024-01-19,1760.3388671875,1800.089404296875,1844.8885803222656,-1
2024-01-23,1780.493408203125,1786.719482421875,1841.0971069335935,-1
2024-01-24,1784.584228515625,1774.8661376953123,1836.195635986328,-1
2024-01-25,1764.4296875,1772.62119140625,1829.5131774902345,-1
2024-01-29,1818.8072509765625,1781.7306884765626,1824.6017272949216,-1
2024-01-30,1819.5057373046875,1793.5640625,1820.386212158203,-1
2024-01-31,1821.1519775390625,1801.695776367188,1816.2006286621092,-1
2024-02-01,1818.6575927734373,1808.51044921875,1814.0903747558596,-1
2024-02-02,1818.8570556640625,1819.3959228515623,1811.9476928710935,1
2024-02-05,1804.2899169921875,1816.4924560546876,1809.1913940429688,1
2024-02-06,1782.9879150390625,1809.1888916015623,1806.1682006835936,1
2024-02-07,1788.5753173828125,1802.6735595703128,1804.4969665527344,-1
2024-02-08,1725.8165283203125,1784.1053466796875,1799.6603515625,-1
2024-02-09,1738.537841796875,1768.04150390625,1795.751641845703,-1
2024-02-12,1705.7117919921875,1748.32587890625,1790.099365234375,-1
2024-02-13,1733.2498779296875,1738.378271484375,1785.305157470703,-1
2024-02-14,1745.023193359375,1729.6678466796875,1780.1891662597657,-1
2024-02-15,1735.3450927734375,1731.5735595703125,1774.7638732910157,-1
2024-02-16,1731.35400390625,1730.1367919921877,1772.5488525390624,-1
2024-02-19,1727.5128173828125,1734.4969970703123,1770.2615051269531,-1
