date,CIPLA.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
2025-03-19,0.011657073615029935,0.010177057548019355,0.011698069567049739,0.008960619379063986,0.01596620747788574,0.010291615494014868,0.010632855531261769,0.009331471049836594,0.01713429122995302,0.010549070994809964,0.015152613728891368,0.017060337352841362,0.01503486845170824,0.011766581601351984,0.018861836898758446
2025-03-20,0.01170904797413659,0.01023864775499598,0.012294987325445613,0.008725823579433535,0.01636914150514242,0.010168698952562677,0.010417860689163297,0.009362982379358453,0.016718874758304286,0.010941701594967058,0.01525101757479486,0.017162787458637155,0.01532577929605399,0.01232033737282664,0.01764617706313341
2025-03-21,0.011712728618282504,0.010297101978543622,0.011446653776515069,0.008591357832865576,0.01605722113983682,0.010158229538996297,0.010965735801467584,0.009361587902048876,0.01773714462142762,0.010877106347520716,0.015546519749117409,0.017526169785503056,0.015923888051100444,0.01310133556236747,0.017339459446908984
2025-03-24,0.011546494117495996,0.009701035857392909,0.011472849438474987,0.008493330914243714,0.01580549951509711,0.010299923029454565,0.013213005647754818,0.009519419249144083,0.01708158010237152,0.010916445652125606,0.01557802899953602,0.017220550459667628,0.01564913059016901,0.013169042567837283,0.017435649363840504
2025-03-25,0.011746157788796022,0.009750413198478742,0.0116633841166819,0.008787382444322162,0.01622343975684444,0.010365665881578199,0.013024879774737524,0.009496029888680374,0.017056206022801206,0.011656361185854553,0.015096747392509059,0.016930700749584665,0.015932087982230572,0.013175004070073444,0.01718268254127352
2025-03-26,0.012580673112755101,0.01016394885459525,0.01186356156812281,0.008752984910083602,0.016018785445582825,0.010484100908919668,0.013389594818614898,0.00920381745467318,0.01729115933977071,0.01208574723479619,0.015054374608940083,0.01693228962205015,0.015730968821101126,0.012421235620549502,0.016758912412556535
2025-03-27,0.012757050747552514,0.010409960337807259,0.011712245765507077,0.00872240104365289,0.015756345203859587,0.010395623639677047,0.013552813439334207,0.008883879816097949,0.017449574940349714,0.012013679858221313,0.014847758136628931,0.016821122092073853,0.015318932716463014,0.012544350226311292,0.017034902820707156
2025-03-28,0.013704458458822705,0.01032992660927641,0.011568358539012065,0.008839456421734324,0.01586094061744328,0.010240564672728587,0.013348983023899943,0.009059527476140701,0.017397753531254622,0.011996878960511612,0.014590472850309504,0.01616988956743277,0.015540153689289966,0.012971436302280006,0.01795644424517612
2025-04-01,0.01254771572462818,0.009768359002483334,0.010446544407091996,0.009380589896756827,0.01349048310167001,0.010126412036847826,0.012998861711504885,0.00625855124913565,0.01656196790506154,0.01218589796535436,0.010911354692982017,0.013382163215636792,0.015392401306631246,0.01104789627542018,0.014175752407945242
2025-04-02,0.012592841761633654,0.008576028747516133,0.010188763876638689,0.009358245048416333,0.013494754472463278,0.010147877343757739,0.013008184516915619,0.007844749840852653,0.016559314544654716,0.010410382601883478,0.011173801088096206,0.01347664274534188,0.015327073415820255,0.011068221466813953,0.013599992396687861
2025-04-03,0.012665281712020965,0.008593649910007599,0.009993734595711994,0.009389774116026728,0.014537082224736934,0.010196357758775317,0.013019250366452087,0.007833276817812831,0.015984746918230392,0.010709267417077395,0.010900280954102433,0.013618617278243596,0.014704824885936559,0.012224076868484382,0.013607154317885235
2025-04-04,0.01744104860705167,0.008267214035225555,0.009928292817238907,0.00936050662783235,0.014240501082504917,0.008309467164246388,0.01274179129522702,0.008131721907833971,0.020936217256754826,0.012467652338038305,0.013966340294729486,0.016633430808018945,0.020691437994384165,0.012868431124426843,0.0136553393820747
2025-04-07,0.018426645434415256,0.008387778604625539,0.013557894992133205,0.009243263850584162,0.016318134067492173,0.012098630070399848,0.012317794416081834,0.00936276798657893,0.02479377439361093,0.01396794342938284,0.015276944885606311,0.018026358635849327,0.019967776245380316,0.017900354399720625,0.018914476043021163
2025-04-08,0.0193562686102494,0.008385660864941257,0.013287941584643914,0.009264390159394516,0.01617726171264907,0.012094766059922055,0.012373243320863559,0.009471743132489132,0.025063924823888487,0.012609905245687817,0.01617449661683524,0.017772617800703095,0.020772445442372892,0.01792410594833211,0.01915089512355523
2025-04-09,0.019357538915823945,0.008365705228923761,0.01372264966540427,0.009325964620654102,0.016017823000985594,0.01204226523897618,0.012227440463444914,0.009467849152430628,0.02300072219853619,0.012908636525664603,0.01605487599009196,0.017852976348645248,0.021077766893323184,0.017917290393463705,0.0192838513481812
2025-04-11,0.019347126725581563,0.008991837443935825,0.013814351028965737,0.007967789391918346,0.0158455885244672,0.011847958973480028,0.012900267912723853,0.009665049369438801,0.022387650236853483,0.013566363168993179,0.01553811640617768,0.018241903791653382,0.020293085959568087,0.01839092335258074,0.019621248584687376
2025-04-15,0.01927660960156693,0.008847989978056268,0.014142216774105048,0.007933096455056375,0.014808358721189387,0.012456540794382067,0.012723580362293896,0.009732684409257876,0.022226196569256774,0.01375012667657543,0.01553404551054192,0.017774049045419443,0.020515455020614668,0.018573741980006917,0.018469775511312007
2025-04-16,0.019735409401581645,0.008735563056007225,0.014015318971843204,0.00792820018024829,0.014665542052603672,0.012890177928496789,0.01272102969108796,0.009646928580527273,0.023223337635543483,0.01352983264570425,0.01544627878748897,0.01740336261728146,0.0206700938760083,0.01864873385111163,0.018612371957507288
2025-04-17,0.019278810705031107,0.008995307111247497,0.014034876504197692,0.010478186078687866,0.013535709782936974,0.012525574733608883,0.014553360116342291,0.009635659922153903,0.023155913537838014,0.014660606544025755,0.017179948889404332,0.017598937482842365,0.02151411067445435,0.018989431722341105,0.018433573120577473
2025-04-21,0.01941670236976495,0.00896475539133363,0.014245643073163904,0.011465909702353267,0.01504191442251913,0.012915905605292417,0.014985352224139456,0.009671675061917264,0.023513580325227434,0.01510576676176859,0.017320012761196598,0.01777205287747686,0.021806319564782312,0.01908080454492201,0.018467381735895023
2025-04-22,0.019306947238809734,0.009223489165751345,0.0142483551691629,0.011429225945126154,0.015113940214567922,0.012663539180572284,0.014628750474235343,0.009536239639663161,0.02360235444044456,0.015304224789564495,0.017199229564542562,0.017774108118745573,0.02197622371819239,0.018753774878263782,0.018540000751696196
2025-04-23,0.019246803741365892,0.011650753704773883,0.013937976551635213,0.01147900454537115,0.015403079120086876,0.013071850994903083,0.01624156437438158,0.009708564627426171,0.023664163133750582,0.015118445382665087,0.01765109207347023,0.019775152491558055,0.02241040708237542,0.018743449599220762,0.01961898866237317
2025-04-24,0.019354918123132545,0.011575304490345674,0.01717643699277828,0.010775682284461912,0.01529118389906612,0.013137647096376647,0.015896146122380727,0.009704242251507712,0.023123823195607945,0.015135835412278538,0.017445700829498034,0.0197068836455669,0.022527352854356236,0.017588205216110674,0.019695069803495936
2025-04-25,0.019912937427322433,0.011542149860187114,0.017181974802214044,0.010794228040091645,0.015265394149324157,0.013134407671127543,0.014121755400051712,0.010175041599331849,0.023333996991075828,0.015137019817996018,0.017571026202552,0.020117642814176197,0.022758783528038302,0.017591446937494856,0.019720661210077244
2025-04-28,0.020075678700554496,0.01142893579265748,0.017343358274629225,0.011111654872226082,0.014940712777721634,0.01304426221611579,0.014248992161651248,0.012940589412368286,0.023415422036521572,0.01492258773675241,0.01853552741483401,0.02057508084862125,0.023747123842057707,0.01758427801304135,0.019720699721905145
2025-04-29,0.019541652903732016,0.01122245116920276,0.017120560331196275,0.010989583756973863,0.014536337421226486,0.013028255873971786,0.014003331770493625,0.012798903525944578,0.023790824407680593,0.014656287983494243,0.019238767112454445,0.020659913487914097,0.023743190855327036,0.017585931144637336,0.019395140280031878
2025-04-30,0.01942173274678275,0.010893841343692067,0.01721118079157989,0.011050979799950959,0.014518858803696721,0.013093040150022292,0.013866906247290586,0.014778059107179478,0.02376733511898478,0.01461476170633656,0.019121718589048046,0.02199833588381924,0.02368346880375869,0.01750599385651849,0.0192785786104269
2025-05-02,0.018997961853814263,0.010952282217404179,0.017295230806971314,0.010883573777584102,0.014149318658125944,0.013257644725926353,0.013881896793991863,0.014120910599973627,0.02370228599075764,0.014422148468065114,0.019188398162214265,0.022207543431210525,0.023915269768064146,0.017488356782335006,0.017855996625734897
2025-05-05,0.019020867960346743,0.009923784823272169,0.017151579593606695,0.010341843718510338,0.014012390796850802,0.013318361319722216,0.013705423602152145,0.014189665933778465,0.02374983499909003,0.01399397791297283,0.01850790321728004,0.02219252137155217,0.023845276683886793,0.017423405955604022,0.017747598120552124
2025-05-06,0.019275952794482566,0.00944464612622474,0.01744102664956025,0.010252409579515303,0.013921247089770604,0.013443781887344186,0.01377496199344576,0.013834177665249806,0.02417787149600734,0.01433967267002321,0.01845286836679505,0.022568391986947902,0.024235337751316463,0.017423377349967826,0.017966951963349347
2025-05-07,0.01922379208870643,0.009389337678639597,0.017407147695597775,0.010297767379982852,0.012338491568863968,0.013564793644072095,0.014108109546804973,0.014363411584117044,0.024275213911067142,0.014787044895133638,0.01912467459552245,0.026422088824781035,0.025137276194739003,0.016368730193496606,0.01933454638512733
2025-05-08,0.01440155246984974,0.009925352976686484,0.017435106482689765,0.010284487247199959,0.012116653409366285,0.013553406851952242,0.014134173441903559,0.014570629085547595,0.01977247108469665,0.012314053532259011,0.01673565128032143,0.023694098959252504,0.017741506540026757,0.015614645072039657,0.01831363182972934
